Family,Scientific Name,Common Name,Reporting status,Migratory status,Breeding status,Habitat Use,IUCN Status,Location Codes
Meropidae ,Merops orientalis,Asian Green Bee-eater,CO,R,RB,"GL, SC",LC,"AEC, AZ, CH, GA, KCS, MG, SSK, TE, WMP, WS, WT"
Meropidae ,Merops philippinus,Blue-tailed Bee-eater,CO,S,V,"GL, SC",LC,"AEC, AZ, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Alcedinidae,Alcedo atthis,Common Kingfisher,CO,R,RB,LM,LC,"AEC, AZ, BO, BP, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Alcedinidae,Pelargopsis capensis,Stork-billed Kingfisher,CO,R,RB,"LM, OL",LC,"AEC, AZ, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Alcedinidae,Halcyon smyrnensis,White-throated Kingfisher,CO,R,RB,"LM, OL",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Alcedinidae,Ceryle rudis,Pied Kingfisher,LD,R,V,LM,LC,"AEC, AZ, BP, CH, GA, KCS, SSK, WS, WT"
Coraciidae,Coracias affinis,Indochinese Roller,CO,R,RB,"GL, OL, SC",LC,"AEC, AZ, CH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Megalaimidae ,Psilopogon haemacephalus,Coppersmith Barbet,CO,R,RB,OL,LC,"AEC, AZ, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Megalaimidae ,Psilopogon lineatus,Lineated Barbet,CO,R,RB,OL,LC,"AEC, AZ, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Megalaimidae ,Psilopogon asiaticus,Blue-throated Barbet,CO,R,RB,OL,LC,"AEC, AZ, CH, DH, GA, KCS, MG, TE, WMP, WS, WT"
Picidae ,Jynx torquilla,Eurasian Wryneck,CO,W,V,"GL, SC",LC,"GA, KCS, TE, WMP"
Picidae ,Dendrocopos macei,Fulvous-breasted Woodpecker,CO,R,RB,OL,LC,"AEC, AZ, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Picidae ,Dinopium benghalense,Black-rumped Flameback,CO,R,RB,OL,LC,"AEC, AZ, CH, GA, KCS, SSK, TE, WS, WT"
Falconidae ,Falco tinnunculus,Eurasian Kestrel,CO,W,V,"GL, SC",LC,"AEC, AZ, BO, BP, CH, DH, GA, KCS, MP, WMP, WS, WT"
Falconidae ,Falco chicquera,Red-necked Falcon,LR,RR,V,"GL, SC",NT,WMP
Falconidae ,Falco amurensis,Amur Falcon,LR,P,V,"GL, SC",LC,"WS, WT"
Falconidae ,Falco subbuteo,Eurasian Hobby,LR,P,V,OL,LC,KCS
Falconidae ,Falco severus,Oriental Hobby,LR,RR,RB,OL,LC,TE
Falconidae ,Falco peregrinus,Peregrine Falcon,CO,W,V,"GL, OL, SC",LC,"AZ, CH, GA, KCS, WS, WT"
Psittaculidae,Psittacula krameri,Rose-ringed Parakeet,CO,R,V,"OL, SC",LC,"AEC, AZ, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Psittaculidae,Psittacula alexandri,Red-breasted Parakeet,CO,R,V,OL,NT,"AEC, AZ, KCS, WMP, WS, WT"
Campephagidae ,Coracina javensis,Oriental Cuckooshrike,CO,R,V,OL,LC,"AEC, AZ, GA, KCS, MG, WS, WT"
Oriolidae,Oriolus tenuirostris,Slender-billed Oriole,LR,W,V,"OL, SC",LC,"GA, KCS"
Oriolidae,Oriolus xanthornus,Black-hooded Oriole,CO,R,RB,"OL, SC",LC,"AEC, AZ, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Artamidae ,Artamus fuscus,Ashy Woodswallow,CO,R,RB,"OL, SC",LC,"AEC, AZ, CH, GA, KCS, MG, SSK, TE, WMP, WS, WT"
Aegithinidae ,Aegithina tiphia,Common Iora,CO,R,RB,OL,LC,"GA, KCS, TE, WMP, WS, WT"
Dicruridae ,Dicrurus macrocercus,Black Drongo,CO,R,RB,"GL, SC",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Laniidae ,Lanius cristatus,Brown Shrike,CO,R,RB,"GL, SC",LC,"AEC, AZ, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Laniidae ,Lanius schach,Long-tailed Shrike,LD,R,V,"GL, SC",LC,"AEC, AZ, BO, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Laniidae ,Lanius tephronotus,Gray-backed Shrike,CO,R,V,"GL, OL, SC",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Corvidae ,Dendrocitta vagabunda,Rufous Treepie,CO,R,V,OL,LC,"AEC, AZ, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Corvidae ,Corvus splendens,House Crow,CO,R,RB,"GL, LM, OL, SC",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Corvidae ,Corvus macrorhynchos,Large-billed Crow,CO,R,RB,OL,LC,"AEC, AZ, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Paridae,Parus cinereus,Asian Tit,CO,R,RB,OL,LC,"AEC, AZ, CH, DH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Alaudidae,Plocealauda assamica,Bengal Bushlark,CO,R,RB,"GL, SC",LC,"AEC, AZ, CH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Alaudidae,Alauda gulgula,Oriental Skylark,CO,R,RB,"GL, SC",LC,"AEC, AZ, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Cisticolidae ,Orthotomus sutorius,Common Tailorbird,CO,R,RB,"OL, SC",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Cisticolidae ,Prinia inornata,Plain Prinia,CO,R,RB,"GL, SC",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Cisticolidae ,Cisticola juncidis,Zitting Cisticola,CO,R,RB,"GL, SC",LC,"AEC, AZ, CH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Cisticolidae ,Cisticola exilis,Golden-headed Cisticola,LD,R,V,GL,LC,KCS
Acrocephalidae,Arundinax aedon,Thick-billed Warbler,CO,W,V,SC,LC,"AEC, AZ, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Acrocephalidae,Acrocephalus bistrigiceps,Black-browed Reed Warbler,CO,W,V,LM,LC,"CH, GA, KCS, WS, WT"
Acrocephalidae,Acrocephalus agricola,Paddyfield Warbler,CO,W,V,LM,LC,"AZ, CH, GA, KCS, TE, WMP, WS, WT"
Acrocephalidae,Acrocephalus dumetorum,Blyth's Reed Warbler,CO,W,V,LM,LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Acrocephalidae,Acrocephalus stentoreus,Clamorous Reed Warbler,LD,W/R,V,LM,LC,"AEC, AZ, DH, GA, KCS, SSK, WS, WT"
Locustellidae ,Helopsaltes certhiola,Pallas's Grasshopper Warbler,CO,W,V,LM,LC,"AEC, AZ, BP, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Locustellidae ,Locustella davidi,Baikal Bush Warbler,CO,W,V,"GL, SC",LC,KCS
Locustellidae ,Locustella thoracica,Spotted Bush Warbler,CO,W,V,"GL, SC",LC,"TE, WMP"
Locustellidae ,Megalurus palustris,Striated Grassbird,CO,R,RB,"GL, SC",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Hirundinidae ,Riparia chinensis,Gray-throated Martin,CO,R,V,"GL, SC",LC,"AEC, AZ, BO, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Hirundinidae ,Riparia riparia,Bank Swallow,CO,W,V,"GL, SC",LC,"AEC, AZ, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Hirundinidae ,Hirundo rustica,Barn Swallow,CO,W,V,"GL, SC",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Hirundinidae ,Delichon dasypus,Asian House-Martin,LR,R,V,"GL, OL, SC",LC,GA
Hirundinidae ,Cecropis daurica,Eastern Red-rumped Swallow,CO,R,V,"GL, OL, SC",LC,"AEC, AZ, CH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Hirundinidae ,Petrochelidon fluvicola,Streak-throated Swallow,VR,V,V,"GL, SC",LC,"AEC, GA, KCS"
Pycnonotidae ,Pycnonotus jocosus,Red-whiskered Bulbul,CO,R,V,"OL, SC",LC,"AEC, GA, KCS, TE, WMP, WS, WT"
Pycnonotidae ,Pycnonotus cafer,Red-vented Bulbul,CO,R,RB,"OL, SC",LC,"AEC, AZ, BO, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Phylloscopidae ,Phylloscopus inornatus,Yellow-browed Warbler,CO,W,V,OL,LC,"AEC, AZ, CH, GA, KCS, MG, SSK, WS, WT"
Phylloscopidae ,Phylloscopus affinis,Tickell's Leaf Warbler,CO,W,V,"OL, SC",LC,"AZ, GA, KCS, MG, SSK, WS, WT"
Phylloscopidae ,Phylloscopus fuscatus,Dusky Warbler,CO,W,V,"LM, OL, SC",LC,"AEC, AZ, BO, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Phylloscopidae ,Phylloscopus collybita,Common Chiffchaff,LR,W,V,SC,LC,"GA, KCS"
Phylloscopidae ,Phylloscopus trochiloides,Greenish Warbler,CO,W,V,OL,LC,"AEC, CH, DH, GA, MP, SSK, WMP, WS, WT"
Sylviidae ,Curruca curruca,Lesser Whitethroat,VR,W,V,SC,LC,KCS
Zosteropidae ,Zosterops palpebrosus,Indian White-eye,CO,R,V,OL,LC,"AEC, GA, KCS, MG, TE, WS, WT"
Leiothrichidae,Argya striata,Jungle Babbler,CO,R,RB,"OL, SC",LC,"AEC, AZ, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Sturnidae ,Gracula religiosa,Common Hill Myna,CO,R,V,OL,LC,"AEC, AZ, BP, CH, GA, KCS, TE, WMP, WS, WT"
Sturnidae ,Sturnus vulgaris,European Starling,CO,W,V,"GL, SC",LC,"AZ, CH, DH, GA, KCS, WMP, WS, WT"
Sturnidae ,Gracupica contra,Indian Pied Starling,CO,R,RB,"GL, SC",LC,"AEC, AZ, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Sturnidae ,Sturnia malabarica,Chestnut-tailed Starling,CO,R,V,"OL, SC",LC,"AEC, AZ, BO, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Sturnidae ,Acridotheres tristis,Common Myna,CO,R,RB,"GL, SC",LC,"AEC, AZ, BO, CH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Sturnidae ,Acridotheres ginginianus,Bank Myna,CO,R,V,"GL, SC",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Sturnidae ,Acridotheres fuscus,Jungle Myna,CO,R,RB,"GL, SC",LC,"AEC, AZ, CH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Sturnidae ,Acridotheres grandis,Great Myna,CO,R,RB,"GL, SC",LC,"AEC, AZ, BO, CH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Turdidae,Turdus atrogularis,Black-throated Thrush,LR,W,RB,"GL, SC",LC,AEC
Muscicapidae ,Copsychus saularis,Oriental Magpie-Robin,CO,R,RB,"GL, OL, SC",LC,"AEC, AZ, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
