Family,Scientific Name,Common Name,Reporting status,Migratory status,Breeding status,Habitat Use,IUCN Status,Location Codes
Columbidae ,Ducula aenea,Green Imperial-Pigeon,LD,R,V,OL,NT,"AZ, MG"
Cuculidae ,Centropus sinensis,Greater Coucal,CO,R,RB,"GL, OL, SC",LC,"AEC, AZ, GA, KCS, TE, WMP, WS, WT"
Cuculidae ,Centropus bengalensis,Lesser Coucal,LD,R,B,GL,LC,"AEC, GA, KCS, SSK, TE, WMP, WS, WT"
Cuculidae ,Clamator jacobinus,Pied Cuckoo,CO,S,SB,"GL, OL, SC",LC,"GA, TE, WMP"
Cuculidae ,Eudynamys scolopaceus,Asian Koel,CO,R,RB,OL,LC,"AEC, AZ, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Cuculidae ,Cacomantis merulinus,Plaintive Cuckoo,CO,R,RB,"GL, SC",LC,"AEC, AZ, BO, GA, KCS, SSK, TE, WMP, WS, WT"
Cuculidae ,Cacomantis passerinus,Gray-bellied Cuckoo,VR,S,SB,"GL, SC",LC,"KCS, TE, WMP"
Cuculidae ,Hierococcyx varius,Common Hawk-Cuckoo,CO,R,RB,OL,LC,"AEC, AZ, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Cuculidae ,Cuculus micropterus,Indian Cuckoo,CO,S,V,OL,LC,"AEC, AZ, CH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Cuculidae ,Cuculus canorus,Common Cuckoo,LR,P/S,V,"GL, OL, SC",LC,"GA, KCS, TE, WS, WT"
Caprimulgidae ,Caprimulgus macrurus,Large-tailed Nightjar,CO,R,V,"GL, OL, SC",LC,"CH, GA, MP"
Apodidae ,Aerodramus brevirostris,Himalayan Swiftlet,LD,R,V,OL,LC,TE
Apodidae ,Apus leuconyx,Blyth's Swift,LR,S,V,"GL, SC",LC,GA
Apodidae ,Apus nipalensis,House Swift,CO,R,V,"GL, SC",LC,"AEC, AZ, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Apodidae ,Cypsiurus balasiensis,Asian Palm Swift,CO,R,RB,"GL, SC",LC,"AEC, AZ, CH, DH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Rallidae,Rallus indicus,Brown-cheeked Rail,CO,W,V,LM,LC,"GA, KCS"
Rallidae,Gallinula chloropus,Eurasian Moorhen,CO,W/R,RB,"LM, SW",LC,"AEC, AZ, BO, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Rallidae,Fulica atra,Eurasian Coot,CO,W,V,"LM, SW",LC,"AEC, AZ, BO, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Rallidae,Porphyrio poliocephalus,Gray-headed Swamphen,CO,R,RB,"LM, SW",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Rallidae,Gallicrex cinerea,Watercock,LD,R,B,"LM, SW",LC,"AZ, CH, GA, KCS, WMP, WS, WT"
Rallidae,Amaurornis phoenicurus,White-breasted Waterhen,CO,R,RB,LM,LC,"AEC, AZ, BO, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Rallidae,Zapornia fusca,Ruddy-breasted Crake,CO,R,RB,"LM, SW",LC,"AEC, CH, DH, GA, KCS, SSK, TE, WS, WT"
Rallidae,Zapornia akool,Brown Crake,LD,R,V,"LM, SW",LC,GA
Rallidae,Zapornia pusilla,Baillon's Crake,CO,W,V,"LM, SW",LC,"AZ, GA, KCS, TE, WMP"
Gruidae,Grus grus,Common Crane,VR,W,V,"GL, SC, SW",LC,GA
Burhinidae ,Burhinus indicus,Indian Thick-knee,LR,R,V,"GL, SC",LC,"CH, SSK"
Recurvirostridae ,Himantopus himantopus,Black-winged Stilt,CO,W,V,"LM, SW",LC,"AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Recurvirostridae ,Recurvirostra avosetta,Pied Avocet,LR,W,V,"LM, SW",LC,"AEC, BO, BP, GA, KCS, WMP, WS, WT"
Charadriidae,Pluvialis fulva,Pacific Golden-Plover,LR,W,V,LM,LC,"CH, KCS, MP"
Charadriidae,Thinornis dubius,Little Ringed Plover,CO,R,V,LM,LC,"AEC, AZ, BO, CH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Charadriidae,Vanellus vanellus,Northern Lapwing,CO,W,V,"GL, LM, SC, SW",NT,"AEC, AZ, BO, CH, DH, GA, KCS, MP, TE, WMP, WS, WT"
Charadriidae,Vanellus duvaucelii,River Lapwing,LR,R,V,LM,NT,"CH, DH, GA, WS, WT"
Charadriidae,Vanellus malabaricus,Yellow-wattled Lapwing,LR,R,V,"GL, SC",LC,"CH, WMP, WS, WT"
Charadriidae,Vanellus cinereus,Gray-headed Lapwing,CO,W,V,"GL, SC",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Charadriidae,Vanellus indicus,Red-wattled Lapwing,CO,R,RB,"GL, SC, SW",LC,"AEC, AZ, BO, CH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Rostratulidae ,Rostratula benghalensis,Greater Painted-Snipe,LD,R,B,"GL, SC, SW",LC,"AEC, GA, KCS, TE, WMP, WS, WT"
Jacanidae,Hydrophasianus chirurgus,Pheasant-tailed Jacana,CO,R,RB,SW,LC,"AEC, AZ, BO, CH, DH, GA, KCS, SSK, WMP, WS, WT"
Jacanidae,Metopidius indicus,Bronze-winged Jacana,CO,R,RB,LM,LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Scolopacidae,Numenius arquata,Eurasian Curlew,LR,W,V,LM,NT,"AEC, AZ, CH, GA, KCS, WS, WT"
Scolopacidae,Limosa limosa,Black-tailed Godwit,LR,W,V,LM,NT,"BO, GA, KCS, WS, WT"
Scolopacidae,Gallinago stenura,Pin-tailed Snipe,LR,W,V,LM,LC,"AZ, BO, CH, GA, KCS, WMP, WS, WT"
Scolopacidae,Gallinago gallinago,Common Snipe,CO,W,V,LM,LC,"AEC, AZ, BO, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Scolopacidae,Actitis hypoleucos,Common Sandpiper,CO,W,V,LM,LC,"AEC, AZ, BO, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Scolopacidae,Tringa ochropus,Green Sandpiper,CO,W,V,LM,LC,"AEC, AZ, BO, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Scolopacidae,Tringa stagnatilis,Marsh Sandpiper,LR,W,V,"LM, SW",LC,"AZ, BO, GA, KCS, SSK, WMP, WS, WT"
Scolopacidae,Tringa glareola,Wood Sandpiper,CO,W,V,LM,LC,"AEC, AZ, BO, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Scolopacidae,Tringa totanus,Common Redshank,LR,W,V,"LM, SW",LC,"AZ, BO, GA, KCS, SSK, WMP, WS, WT"
Scolopacidae,Tringa erythropus,Spotted Redshank,CO,W,V,"LM, SW",LC,"AZ, GA, KCS, SSK, TE, WMP, WS, WT"
Scolopacidae,Tringa nebularia,Common Greenshank,CO,W,V,"LM, SW",LC,"AEC, BO, BP, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Scolopacidae,Calidris pugnax,Ruff,CO,W,V,"LM, SW",LC,"AZ, GA, KCS, SSK, WMP, WS, WT"
Scolopacidae,Calidris temminckii,Temminck's Stint,CO,W,V,"GL, SC, SW",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Scolopacidae,Calidris minuta,Little Stint,LR,W,V,LM,LC,"BO, BP, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Turnicidae ,Turnix suscitator,Barred Buttonquail,LR,R,V,"GL, SC",LC,WMP
Glareolidae ,Glareola lactea,Small Pratincole,CO,R,V,LM,LC,"CH, GA, KCS, SSK, TE, WMP, WS, WT"
Laridae ,Rissa tridactyla,Black-legged Kittiwake,VR,V,V,"OW, SW",VU,GA
Laridae ,Chroicocephalus ridibundus,Black-headed Gull,CO,W,V,"OW, SW",LC,"AEC, AZ, BO, BP, CH, GA, KCS, SSK, WMP, WS, WT"
Laridae ,Chroicocephalus brunnicephalus,Brown-headed Gull,CO,W,V,"OW, SW",LC,"AEC, BO, BP, CH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Laridae ,Chroicocephalus genei,Slender-billed Gull,VR,W,V,"OW, SW",LC,GA
Laridae ,Ichthyaetus ichthyaetus,Pallas's Gull,LR,W,V,"OW, SW",LC,"AZ, CH, GA, KCS, WS, WT"
Laridae ,Chlidonias hybrida,Whiskered Tern,CO,S,V,SW,LC,"AEC, AZ, CH, GA, KCS, MP, SSK, WMP, WS, WT"
Laridae ,Sterna aurantia,River Tern,LR,R,V,SW,VU,"GA, KCS, TE, WS, WT"
Podicipedidae ,Tachybaptus ruficollis,Little Grebe,CO,R,RB,OW,LC,"AEC, AZ, BO, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Podicipedidae ,Podiceps cristatus,Great Crested Grebe,CO,W,V,OW,LC,"AEC, BO, CH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Podicipedidae ,Podiceps nigricollis,Eared Grebe,VR,W,V,OW,LC,"CH, GA, WS"
Ciconiidae ,Anastomus oscitans,Asian Openbill,CO,R,V,"LM, SW",LC,"AEC, AZ, BO, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Ciconiidae ,Ciconia nigra,Black Stork,LR,W,V,"LM, SW",LC,WMP
Ciconiidae ,Ciconia episcopus,Asian Woolly-necked Stork,LD,R,V,"LM, SW",NT,"GA, SSK, WMP, WS, WT"
Ciconiidae ,Ephippiorhynchus asiaticus,Black-necked Stork,LD,R,V,"LM, SW",LC,"GA, WS, WT"
Ciconiidae ,Leptoptilos javanicus,Lesser Adjutant,CO,R,V,"LM, SW",NT,"AEC, AZ, BO, CH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Ciconiidae ,Leptoptilos dubius,Greater Adjutant,CO,R,V,"LM, SW",NT,"AEC, AZ, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Ciconiidae ,Mycteria leucocephala,Painted Stork,CO,R,V,"LM, SW",LC,WMP
Anhingidae ,Anhinga melanogaster,Oriental Darter,CO,R,V,"LM, SW",LC,"AEC, AZ, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Phalacrocoracidae,Microcarbo niger,Little Cormorant,CO,R,RB,"LM, SW",LC,"AEC, AZ, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Phalacrocoracidae,Phalacrocorax carbo,Great Cormorant,CO,R,V,"LM, SW",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Threskiornithidae,Plegadis falcinellus,Glossy Ibis,CO,R,V,LM,LC,"AEC, AZ, BO, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
